,key,LocID,airport name,facility type,FAA region,county,city,state,airport type,latitude,longiutde,Boundary Data Available
809,944.0,CCO,NEWNAN COWETA COUNTY,Airport,ASO,COWETA,ATLANTA,GA,Public Use,33.311566,-84.769755,Yes
810,261.0,EKY,BESSEMER,Airport,ASO,JEFFERSON,BESSEMER,AL,Public Use,33.312611,-86.926306,Yes
811,5182.0,T58,IRONHEAD,Airport,ASW,DENTON,SANGER,TX,Public Use,33.331783,-97.230294,No
812,4215.0,3RU,RUST AIRSTRIP,Airport,ASO,FAYETTE,WOOLSEY,GA,Public Use,33.332861,-84.400778,No
813,5244.0,6X8,VULTURES ROW,Airport,ASW,DENTON,SANGER,TX,Public Use,33.34,-97.103056,No
814,5160.0,T87,FLYING C,Airport,ASW,DENTON,SANGER,TX,Public Use,33.342222,-97.27,No
815,376.0,M32,LAKE VILLAGE MUNI,Airport,ASW,CHICOT,LAKE VILLAGE,AR,Public Use,33.346,-91.315722,Yes
816,3270.0,ONY,OLNEY MUNI,Airport,ASW,YOUNG,OLNEY,TX,Public Use,33.350889,-98.819167,Yes
817,4834.0,E94,GLENWOOD-CATRON COUNTY,Airport,ASW,CATRON,GLENWOOD,NM,Public Use,33.35284,-108.867286,No
818,462.0,P13,SAN CARLOS APACHE,Airport,AWP,GILA,GLOBE,AZ,Public Use,33.353139,-110.667361,Yes
819,537.0,L18,FALLBROOK COMMUNITY AIRPARK,Airport,AWP,SAN DIEGO,FALLBROOK,CA,Public Use,33.354198,-117.250869,Yes
820,5141.0,T28,CAIN,Airport,ASW,WISE,SLIDELL,TX,Public Use,33.354494,-97.439058,No
821,878.0,FFC,ATLANTA RGNL FALCON FIELD,Airport,ASO,FAYETTE,ATLANTA,GA,Public Use,33.35725,-84.571833,Yes
822,5191.0,58F,LANE FLD,Airport,ASW,DENTON,SANGER,TX,Public Use,33.366056,-97.146389,No
823,5163.0,9S1,FOUR WINDS,Airport,ASW,COLLIN,CELINA,TX,Public Use,33.368276,-96.754694,No
824,879.0,AGS,AUGUSTA RGNL AT BUSH FIELD,Airport,ASO,RICHMOND,AUGUSTA,GA,Federalized/Commercial,33.369944,-81.9645,Yes
825,5136.0,T80,BISHOP'S LANDING,Airport,ASW,COLLIN,CELINA,TX,Public Use,33.376521,-96.728936,No
826,313.0,3M8,NORTH PICKENS,Airport,ASO,PICKENS,REFORM,AL,Public Use,33.386753,-88.006579,Yes
827,5093.0,1DS,DRY SWAMP,Airport,ASO,ORANGEBURG,ORANGEBURG,SC,Public Use,33.387778,-80.911111,No
828,896.0,4A7,CLAYTON COUNTY - TARA FIELD,Airport,ASO,HENRY,HAMPTON,GA,Public Use,33.389111,-84.332361,Yes
829,514.0,AVX,CATALINA,Airport,AWP,LOS ANGELES,AVALON,CA,Public Use,33.404997,-118.415769,Yes
830,426.0,BXK,BUCKEYE MUNI,Airport,AWP,MARICOPA,BUCKEYE,AZ,Public Use,33.420417,-112.686181,Yes
831,455.0,GYR,PHOENIX GOODYEAR,Airport,AWP,MARICOPA,GOODYEAR,AZ,Public Use,33.423725,-112.374456,Yes
832,1961.0,STF,GEORGE M BRYAN,Airport,ASO,OKTIBBEHA,STARKVILLE,MS,Public Use,33.433111,-88.848611,Yes
833,456.0,PHX,PHOENIX SKY HARBOR INTL,Airport,AWP,MARICOPA,PHOENIX,AZ,Federalized/Commercial,33.434278,-112.011583,Yes
834,3200.0,F75,HARRISON FIELD OF KNOX CITY,Airport,ASW,KNOX,KNOX CITY,TX,Public Use,33.438151,-99.812869,Yes
835,418.0,4F8,WILSON,Airport,ASW,OUACHITA,STEPHENS,AR,Public Use,33.443194,-93.054306,Yes
